YBL100W-B	36.94
YBL100C	43.49
YBL099W	43.65
YBL098W	38.61
YBL097W	37.79
YBL096C	44.33
YBL095W	43.17
YBL094C	38.43
YBL093C	44.34
YBL092W	44.27
YBL091C-A	43.93
YBL091C	43.36
YBL090W	39.13
YBL089W	38.76
YBL088C	35.80
YBL087C	46.85
YBL086C	41.18
YBL085W	39.99
YBL084C	37.15
YBL083C	45.77
YBL082C	47.85
YBL081W	44.80
YBL080C	41.14
YBL079W	37.30
YBL078C	39.83
YBL077W	35.18
YBL076C	38.92
YBL075C	41.58
YBL074C	38.01
YBL073W	40.38
YBL072C	43.61
YBL071C-B	32.32
YBL071W-A	44.57
YBL071C	36.24
YBL070C	38.31
YBL069W	40.62
YBL068W-A	38.81
YBL068W	38.63
YBL067C	37.12
YBL066C	40.26
YBL065W	38.55
YBL064C	41.73
YBL063W	36.15
YBL062W	35.43
YBL061C	39.31
YBL060W	37.79
YBL059C-A	37.27
YBL059W	39.17
YBL058W	44.18
YBL057C	42.90
YBL056W	38.87
YBL055C	40.49
YBL054W	41.50
YBL053W	37.60
YBL052C	35.45
YBL051C	39.06
YBL050W	39.93
YBL049W	39.08
YBL048W	30.76
YBL047C	41.34
YBL046W	40.79
YBL045C	42.06
YBL044W	47.15
YBL043W	43.15
YBL042C	41.77
YBL041W	41.46
YBL040C	36.21
YBL039W-B	33.88
YBL039C	40.17
YBL039C-A	42.85
YBL038W	39.62
YBL037W	37.58
YBL036C	36.95
YBL035C	39.42
YBL034C	35.35
YBL033C	47.97
YBL032W	46.24
YBL031W	39.82
YBL030C	42.94
YBL029C-A	40.00
YBL029W	37.93
YBL028C	36.76
YBL027W	44.38
YBL026W	34.37
YBL025W	40.18
YBL024W	38.68
YBL023C	40.00
YBL022C	40.68
YBL021C	48.04
YBL020W	38.26
YBL019W	37.42
YBL018C	37.06
YBL017C	38.96
YBL016W	45.76
YBL015W	45.98
YBL014C	39.25
YBL013W	49.08
YBL012C	44.52
YBL011W	43.02
YBL010C	38.07
YBL009W	38.06
YBL008W-A	33.75
YBL008W	39.55
YBL007C	43.34
YBL006C	48.43
YBL006W-A	49.33
YBL005W	36.02
YBL005W-A	41.04
YBL005W-B	38.34
YBL004W	35.51
YBL003C	41.10
YBL002W	41.66
YBL001C	39.36
YBR001C	39.30
YBR002C	42.16
YBR003W	40.50
YBR004C	34.25
YBR005W	46.88
YBR006W	40.76
YBR007C	38.48
YBR008C	41.22
YBR009C	42.62
YBR010W	43.30
