Treatment,Temperature,CHX,Bio_rep,ImageNumber,Parent_Cell,Cell_Parent_Children_stress_granule_Count
46C_noCHX,46C,mock,BioRep1,11,3,5
46C_noCHX,46C,mock,BioRep1,11,4,3
46C_noCHX,46C,mock,BioRep1,11,5,0
46C_noCHX,46C,mock,BioRep1,11,6,2
46C_noCHX,46C,mock,BioRep1,12,1,8
46C_noCHX,46C,mock,BioRep1,12,2,11
46C_noCHX,46C,mock,BioRep1,12,3,6
46C_noCHX,46C,mock,BioRep1,12,4,2
46C_noCHX,46C,mock,BioRep1,12,5,6
46C_noCHX,46C,mock,BioRep1,13,1,4
46C_noCHX,46C,mock,BioRep1,13,2,8
46C_noCHX,46C,mock,BioRep1,13,3,6
46C_noCHX,46C,mock,BioRep1,13,4,7
46C_noCHX,46C,mock,BioRep1,13,5,3
46C_noCHX,46C,mock,BioRep1,13,6,12
46C_noCHX,46C,mock,BioRep1,13,7,11
46C_noCHX,46C,mock,BioRep1,13,8,5
46C_noCHX,46C,mock,BioRep1,13,9,11
46C_noCHX,46C,mock,BioRep1,13,10,4
46C_noCHX,46C,mock,BioRep1,13,11,10
46C_noCHX,46C,mock,BioRep1,13,12,1
46C_noCHX,46C,mock,BioRep1,13,13,1
46C_noCHX,46C,mock,BioRep1,13,14,11
46C_noCHX,46C,mock,BioRep1,13,15,9
46C_noCHX,46C,mock,BioRep1,14,1,13
46C_noCHX,46C,mock,BioRep1,14,2,4
46C_noCHX,46C,mock,BioRep1,14,3,2
46C_noCHX,46C,mock,BioRep1,14,4,7
46C_noCHX,46C,mock,BioRep1,14,5,5
46C_noCHX,46C,mock,BioRep1,14,6,6
46C_noCHX,46C,mock,BioRep1,14,7,2
46C_noCHX,46C,mock,BioRep1,14,8,4
46C_noCHX,46C,mock,BioRep1,14,9,1
46C_noCHX,46C,mock,BioRep1,14,10,3
46C_noCHX,46C,mock,BioRep1,14,11,11
46C_noCHX,46C,mock,BioRep1,14,12,7
46C_noCHX,46C,mock,BioRep1,14,13,8
46C_noCHX,46C,mock,BioRep1,14,14,2
46C_noCHX,46C,mock,BioRep1,14,15,8
46C_noCHX,46C,mock,BioRep1,14,16,1
46C_noCHX,46C,mock,BioRep1,14,17,5
46C_noCHX,46C,mock,BioRep1,14,18,1
46C_noCHX,46C,mock,BioRep1,14,19,8
46C_noCHX,46C,mock,BioRep1,14,20,12
46C_noCHX,46C,mock,BioRep1,14,21,4
46C_noCHX,46C,mock,BioRep1,14,22,10
46C_noCHX,46C,mock,BioRep1,14,23,2
46C_noCHX,46C,mock,BioRep1,14,24,4
46C_noCHX,46C,mock,BioRep1,14,25,4
46C_noCHX,46C,mock,BioRep1,14,26,8
46C_noCHX,46C,mock,BioRep1,14,27,5
30C_CHX,30C,CHX,BioRep1,1,1,0
30C_CHX,30C,CHX,BioRep1,1,2,0
30C_CHX,30C,CHX,BioRep1,1,3,0
30C_CHX,30C,CHX,BioRep1,1,4,0
30C_CHX,30C,CHX,BioRep1,1,5,0
30C_CHX,30C,CHX,BioRep1,1,6,0
30C_CHX,30C,CHX,BioRep1,1,7,0
30C_CHX,30C,CHX,BioRep1,1,8,0
30C_CHX,30C,CHX,BioRep1,1,9,0
30C_CHX,30C,CHX,BioRep1,1,10,0
30C_CHX,30C,CHX,BioRep1,1,11,0
