Probe	Sample	Biorep	Strain	Reporter_age	Temperature	Time	EDTA.FALSE	EDTA.TRUE	Occupancy_corr	Reporter	Promoter	UTR5	CDS	Hairpin	Desc	Skip	Occ.mean
YONL	B2	BR2	yJB236	New	30C	20min	0.1698138232847617	0.8959980735015639	0.7261842502168022	pJB801	TETO	PMU1	PMU1	NA	PMU1	FALSE	0.7174014812663478
YONL	C1	BR1	yJB236	Old	42C	20min	0.4741046594405587	0.7954820644338907	0.321377404993332	pJB801	TETO	PMU1	PMU1	NA	PMU1	FALSE	0.22814461127794894
YONL	C2	BR2	yJB236	Old	42C	20min	0.4748319925206782	0.6097438100832441	0.13491181756256587	pJB801	TETO	PMU1	PMU1	NA	PMU1	FALSE	0.22814461127794894
YONL	D1	BR1	yJB236	New	42C	20min	0.7199712285895125	0.8826940148648108	0.16272278627529835	pJB801	TETO	PMU1	PMU1	NA	PMU1	FALSE	0.19745240729206304
YONL	D2	BR2	yJB236	New	42C	20min	0.6962625313336742	0.9284445596425019	0.23218202830882773	pJB801	TETO	PMU1	PMU1	NA	PMU1	FALSE	0.19745240729206304
YONL	E1	BR1	yJB240	Old	30C	20min	0.06753039527791131	0.9402585230389244	0.8727281277610132	pJB805	TETO	HSP26	TPI1	NA	HSP26	FALSE	0.8328251896488643
YONL	E2	BR2	yJB240	Old	30C	20min	0.06061392743341244	0.853536178970128	0.7929222515367156	pJB805	TETO	HSP26	TPI1	NA	HSP26	FALSE	0.8328251896488643
YONL	F1	BR1	yJB240	New	30C	20min	0.13219966155179505	0.9349588604860514	0.8027591989342563	pJB805	TETO	HSP26	TPI1	NA	HSP26	FALSE	0.769294279397144
YONL	F2	BR2	yJB240	New	30C	20min	0.1383289696053025	0.8741583294653342	0.7358293598600317	pJB805	TETO	HSP26	TPI1	NA	HSP26	FALSE	0.769294279397144
YONL	G1	BR1	yJB240	Old	42C	20min	0.20893887053998228	0.9432611202648347	0.7343222497248524	pJB805	TETO	HSP26	TPI1	NA	HSP26	FALSE	0.735067705701588
YONL	G2	BR2	yJB240	Old	42C	20min	0.17925980859120239	0.915072970269526	0.7358131616783237	pJB805	TETO	HSP26	TPI1	NA	HSP26	FALSE	0.735067705701588
YONL	H1	BR1	yJB240	New	42C	20min	0.2972191489298661	0.9544099974125405	0.6571908484826744	pJB805	TETO	HSP26	TPI1	NA	HSP26	FALSE	0.7060113766847422
YONL	H2	BR2	yJB240	New	42C	20min	0.15682044380961996	0.9116523486964301	0.7548319048868102	pJB805	TETO	HSP26	TPI1	NA	HSP26	FALSE	0.7060113766847422
