Lysate_sample	Dataset	Variable	mean	sd	percent_error
L61	snake_221019	mixing_Pellet	0.4743635676287152	0.0018793669617571	0.3961870366967309
L62	snake_221019	mixing_Sup	0.5169848724598399	0.00820717012680223	1.5875068235076402
L62	snake_221019	mixing_Pellet	0.8328036847107115	0.00263763422525085	0.31671740575536445
L63	snake_221019	mixing_Sup	0.8534100052882255	0.00237211556748502	0.2779573186142663
L63	snake_221019	mixing_Pellet	0.2135862749633005	0.0017796217375473	0.8332097827227353
L64	snake_221019	mixing_Sup	0.43893942563006855	0.00222801351772372	0.5075902021162837
L64	snake_221019	mixing_Pellet	0.26973179236852207	0.00172862091332433	0.6408665801481033
L65	snake_221019	mixing_Sup	0.46467496450995366	0.00497812419071873	1.0713131911396736
L65	snake_221019	mixing_Pellet	0.5086981365821689	0.00315706605403921	0.6206167915712929
L66	snake_221019	mixing_Sup	0.7745811588740187	0.00219809548686817	0.2837785894590392
L66	snake_221019	mixing_Pellet	0.2619842210168619	0.0015531315498886	0.5928340049871312
L67	snake_221019	mixing_Sup	0.5957094596298416	0.00415668957534255	0.6977712890316379
L67	snake_221019	mixing_Pellet	0.6140501078537463	0.00214369846102891	0.34910806685168655
L68	snake_221019	mixing_Sup	0.4562284580883673	0.00649845886367289	1.4243870035863035
L68	snake_221019	mixing_Pellet	0.7154927952507697	0.00259851363123486	0.3631781687367123
L69	snake_221019	mixing_Sup	0.601474486449173	0.0014885102906748	0.2474768796033687
L69	snake_221019	mixing_Pellet	0.14773664681125048	0.00132769399254113	0.8986896759863533
L70	snake_221019	mixing_Sup	0.5634447521619083	0.00245677865870373	0.4360283149815839
L70	snake_221019	mixing_Pellet	0.41423013569408845	0.00186319411091083	0.44979685212637704
L71	snake_221019	mixing_Sup	0.5205758224769759	0.00526655870966329	1.0116794676718242
L71	snake_221019	mixing_Pellet	0.6579378606033779	0.00316027152869377	0.4803297876482691
L72	snake_221019	mixing_Sup	0.731544920248329	0.00261915733593094	0.3580309648027965
L72	snake_221019	mixing_Pellet	0.3673023190576409	0.00219533737279898	0.5976922167089462
L73	snake_221019	mixing_Sup	0.2634792770651751	0.00262675740981939	0.9969502873539565
L73	snake_221019	mixing_Pellet	0.32181838371949145	0.00112267725321123	0.34885429484656044
L74	snake_221019	mixing_Sup	0.22980709320254383	0.00574847431259132	2.5014346739614424
L74	snake_221019	mixing_Pellet	0.49233459309858546	0.00149865079218916	0.3043968092425041
L75	snake_221019	mixing_Sup	0.4855628200867196	0.00117537729743498	0.24206492935868987
L75	snake_221019	mixing_Pellet	0.17391131667853077	0.00123347131625028	0.7092530490872601
L76	snake_221019	mixing_Sup	0.4018602938638409	0.00334736759506521	0.8329679856849385
L76	snake_221019	mixing_Pellet	0.21957805238549463	0.00182842369788627	0.8326987501812162
L77	snake_221019	mixing_Sup	0.408821171297909	0.0063092084891228	1.5432685320803172
L77	snake_221019	mixing_Pellet	0.4592566703660419	0.00252845207694992	0.5505531525398781
L78	snake_221019	mixing_Sup	0.6403895704288112	0.00517189667433747	0.8076172556767778
L78	snake_221019	mixing_Pellet	0.19178824634428243	0.00196600345679532	1.0250906894816236
L79	snake_221019	mixing_Sup	0.4282831629657861	0.00483574521741928	1.1291000056907652
L79	snake_221019	mixing_Pellet	0.348117338906874	0.00177705351447817	0.5104754391316185
L80	snake_221019	mixing_Sup	0.29604488476537844	0.00918404551431867	3.1022476613967545
L80	snake_221019	mixing_Pellet	0.362981672292794	0.00145435525048094	0.40066905893469057
L81	snake_221019	mixing_Sup	0.887725246524379	0.00375116939507228	0.42255972889797316
L81	snake_221019	mixing_Pellet	0.17064326662862525	0.00316691648499173	1.8558695854574567
L82	snake_221019	mixing_Sup	1.3750748298182889	0.00825758559879234	0.6005189986557713
L82	snake_221019	mixing_Pellet	0.2115750740660221	0.00413264783943022	1.9532772741181343
L83	snake_221019	mixing_Sup	1.0305193570903912	0.00422703990346259	0.4101853957792098
L83	snake_221019	mixing_Pellet	0.17021876038066716	0.00337687360172049	1.9838433755296128
L84	snake_221019	mixing_Sup	1.4242695766206173	0.00782073535198762	0.5491049925073861
L84	snake_221019	mixing_Pellet	0.19165108370968884	0.00359895018239447	1.8778658136085074
L89	snake_230331	mixing_Sup	0.6036249556459149	0.00114468078392641	0.1896344366182695
L89	snake_230331	mixing_Pellet	0.22210518703761303	0.00178108475703917	0.8019104734990035
L90	snake_230331	mixing_Sup	0.6625646288950854	0.00127332386302161	0.19218108053021887
L90	snake_230331	mixing_Pellet	0.24174731134482708	0.00201951108343211	0.8353809902570085
L91	snake_230331	mixing_Sup	0.9109612024300222	0.00156239313465445	0.17151039259264933
L91	snake_230331	mixing_Pellet	0.2547322591922102	0.00196637631567924	0.771938474504517
L92	snake_230331	mixing_Sup	0.780548951657021	0.00131331984902253	0.16825592376166723
