Lysate_sample	Dataset	Variable	Term	Value
L12	snake_170622_170627	phi	x97.5	694.0174450129126
L12	snake_170622_170627	phi	n_eff	824.162099029848
L12	snake_170622_170627	phi	Rhat	1.0046443725780747
L12	snake_170622_170627	lp__	mean	124017990.44543324
L12	snake_170622_170627	lp__	se_mean	0.04509315451171993
L12	snake_170622_170627	lp__	sd	1.2346738030742708
L12	snake_170622_170627	lp__	x2.5	124017987.190925
L12	snake_170622_170627	lp__	x25	124017989.9057473
L12	snake_170622_170627	lp__	x50	124017990.74909896
L12	snake_170622_170627	lp__	x75	124017991.33790734
L12	snake_170622_170627	lp__	x97.5	124017991.82506922
L12	snake_170622_170627	lp__	n_eff	749.692613285562
L12	snake_170622_170627	lp__	Rhat	1.0025998400951026
L13	snake_170622_170627	mixing_Sup	mean	0.36020370342976565
L13	snake_170622_170627	mixing_Sup	se_mean	1.0023536793648622e-4
L13	snake_170622_170627	mixing_Sup	sd	0.00327192238130407
L13	snake_170622_170627	mixing_Sup	x2.5	0.3536653061845862
L13	snake_170622_170627	mixing_Sup	x25	0.35807549185445875
L13	snake_170622_170627	mixing_Sup	x50	0.360156763351584
L13	snake_170622_170627	mixing_Sup	x75	0.3623192911468365
L13	snake_170622_170627	mixing_Sup	x97.5	0.36666318518044566
L13	snake_170622_170627	mixing_Sup	n_eff	1065.525891513371
L13	snake_170622_170627	mixing_Sup	Rhat	1.0014769420803733
L13	snake_170622_170627	mixing_Pellet	mean	0.6183710955383293
L13	snake_170622_170627	mixing_Pellet	se_mean	5.405371833302772e-5
L13	snake_170622_170627	mixing_Pellet	sd	0.00182483135436197
L13	snake_170622_170627	mixing_Pellet	x2.5	0.6147916383754221
L13	snake_170622_170627	mixing_Pellet	x25	0.6171840911209214
L13	snake_170622_170627	mixing_Pellet	x50	0.6183682696838596
L13	snake_170622_170627	mixing_Pellet	x75	0.6195672903189132
L13	snake_170622_170627	mixing_Pellet	x97.5	0.6219088927144039
L13	snake_170622_170627	mixing_Pellet	n_eff	1139.7098988103412
L13	snake_170622_170627	mixing_Pellet	Rhat	1.0006463220814388
L13	snake_170622_170627	phi	mean	229.9065780845993
L13	snake_170622_170627	phi	se_mean	0.2162449912659545
L13	snake_170622_170627	phi	sd	6.611675052415644
L13	snake_170622_170627	phi	x2.5	217.6599584351408
L13	snake_170622_170627	phi	x25	225.2599924056732
L13	snake_170622_170627	phi	x50	229.75301891509295
L13	snake_170622_170627	phi	x75	234.37820842489808
L13	snake_170622_170627	phi	x97.5	242.8241123709162
L13	snake_170622_170627	phi	n_eff	934.8262261919518
L13	snake_170622_170627	phi	Rhat	1.0023398660724736
L13	snake_170622_170627	lp__	mean	122578566.64003564
L13	snake_170622_170627	lp__	se_mean	0.04161028202539588
L13	snake_170622_170627	lp__	sd	1.2009762703260252
L13	snake_170622_170627	lp__	x2.5	122578563.60102864
L13	snake_170622_170627	lp__	x25	122578566.10131437
L13	snake_170622_170627	lp__	x50	122578566.92974491
L13	snake_170622_170627	lp__	x75	122578567.52465156
L13	snake_170622_170627	lp__	x97.5	122578568.00492744
L13	snake_170622_170627	lp__	n_eff	833.043220058443
L13	snake_170622_170627	lp__	Rhat	1.0061397629610755
L31	snake_220403	mixing_Sup	mean	2.1357759769935587
L31	snake_220403	mixing_Sup	se_mean	1.261028656371914e-4
L31	snake_220403	mixing_Sup	sd	0.00456989894804017
L31	snake_220403	mixing_Sup	x2.5	2.1266354162095147
L31	snake_220403	mixing_Sup	x25	2.132786641655025
L31	snake_220403	mixing_Sup	x50	2.1357283909040254
L31	snake_220403	mixing_Sup	x75	2.138827935337074
L31	snake_220403	mixing_Sup	x97.5	2.145111702926785
L31	snake_220403	mixing_Sup	n_eff	1313.2979972001976
L31	snake_220403	mixing_Sup	Rhat	1.0010256306776537
L31	snake_220403	mixing_Pellet	mean	0.31192264496041755
L31	snake_220403	mixing_Pellet	se_mean	7.819970345342472e-5
L31	snake_220403	mixing_Pellet	sd	0.00235285658463103
L31	snake_220403	mixing_Pellet	x2.5	0.30726885410582644
L31	snake_220403	mixing_Pellet	x25	0.31028109126259323
L31	snake_220403	mixing_Pellet	x50	0.3120050423075587
L31	snake_220403	mixing_Pellet	x75	0.31353726827448136
L31	snake_220403	mixing_Pellet	x97.5	0.31642462867932647
L31	snake_220403	mixing_Pellet	n_eff	905.2753603012392
L31	snake_220403	mixing_Pellet	Rhat	1.0011071809040577
L31	snake_220403	phi	mean	313.55557396153694
L31	snake_220403	phi	se_mean	0.3952311506891416
L31	snake_220403	phi	sd	12.192603942054795
L31	snake_220403	phi	x2.5	291.1103615182817
L31	snake_220403	phi	x25	304.661735499264
L31	snake_220403	phi	x50	313.39822965389345
L31	snake_220403	phi	x75	321.5440692343283
L31	snake_220403	phi	x97.5	338.6634495653066
L31	snake_220403	phi	n_eff	951.6792488431366
L31	snake_220403	phi	Rhat	0.9991301210989856
L31	snake_220403	lp__	mean	67855578.94968198
L31	snake_220403	lp__	se_mean	0.04199081053337102
L31	snake_220403	lp__	sd	1.177804852106412
L31	snake_220403	lp__	x2.5	67855575.99193507
L31	snake_220403	lp__	x25	67855578.41745645
L31	snake_220403	lp__	x50	67855579.25023562
L31	snake_220403	lp__	x75	67855579.81685208
L31	snake_220403	lp__	x97.5	67855580.2977413
L31	snake_220403	lp__	n_eff	786.7525563840635
L31	snake_220403	lp__	Rhat	1.0030343128953527
L32	snake_220403	mixing_Sup	mean	1.247341461138305
L32	snake_220403	mixing_Sup	se_mean	2.690773794175562e-4
L32	snake_220403	mixing_Sup	sd	0.00852677599803774
L32	snake_220403	mixing_Sup	x2.5	1.2306880884012097
L32	snake_220403	mixing_Sup	x25	1.2414898918593231
L32	snake_220403	mixing_Sup	x50	1.247326477375336
L32	snake_220403	mixing_Sup	x75	1.2530047136147016
L32	snake_220403	mixing_Sup	x97.5	1.2635928736345294
L32	snake_220403	mixing_Sup	n_eff	1004.188698406156
L32	snake_220403	mixing_Sup	Rhat	1.000231242523649
L32	snake_220403	mixing_Pellet	mean	0.3654953601163508
L32	snake_220403	mixing_Pellet	se_mean	2.660854594122881e-5
L32	snake_220403	mixing_Pellet	sd	9.09703820484727e-4
L32	snake_220403	mixing_Pellet	x2.5	0.3637300565364016
L32	snake_220403	mixing_Pellet	x25	0.36487698533712537
L32	snake_220403	mixing_Pellet	x50	0.3655108430353532
L32	snake_220403	mixing_Pellet	x75	0.3661088995822783
L32	snake_220403	mixing_Pellet	x97.5	0.3672532727136817
L32	snake_220403	mixing_Pellet	n_eff	1168.847230162936
L32	snake_220403	mixing_Pellet	Rhat	1.0000402873639562
L32	snake_220403	phi	mean	324.696992353512
L32	snake_220403	phi	se_mean	0.44936918988614943
L32	snake_220403	phi	sd	13.127600619085632
L32	snake_220403	phi	x2.5	300.1685862042052
L32	snake_220403	phi	x25	315.9454338701277
L32	snake_220403	phi	x50	324.5512486320705
L32	snake_220403	phi	x75	333.06087368079557
L32	snake_220403	phi	x97.5	351.61067862400614
L32	snake_220403	phi	n_eff	853.4225740795962
L32	snake_220403	phi	Rhat	1.0054335283227975
L32	snake_220403	lp__	mean	41962588.49431592
L32	snake_220403	lp__	se_mean	0.04711125032665209
L32	snake_220403	lp__	sd	1.2299315243390176
L32	snake_220403	lp__	x2.5	41962585.54829064
L32	snake_220403	lp__	x25	41962587.96686239
L32	snake_220403	lp__	x50	41962588.80160953
L32	snake_220403	lp__	x75	41962589.39359372
L32	snake_220403	lp__	x97.5	41962589.87910423
L32	snake_220403	lp__	n_eff	681.5733565748408
L32	snake_220403	lp__	Rhat	1.0055114001540282
L33	snake_220403	mixing_Sup	mean	1.036198135354641
L33	snake_220403	mixing_Sup	se_mean	6.293581665088496e-5
L33	snake_220403	mixing_Sup	sd	0.00218866335129908
L33	snake_220403	mixing_Sup	x2.5	1.0317630288551185
L33	snake_220403	mixing_Sup	x25	1.0347103940225766
L33	snake_220403	mixing_Sup	x50	1.0361827863815816
L33	snake_220403	mixing_Sup	x75	1.0377388440030466
L33	snake_220403	mixing_Sup	x97.5	1.0406049656412106
L33	snake_220403	mixing_Sup	n_eff	1209.3783444942014
L33	snake_220403	mixing_Sup	Rhat	1.0009604823488447
L33	snake_220403	mixing_Pellet	mean	0.2150398420847404
L33	snake_220403	mixing_Pellet	se_mean	4.241459960548528e-5
L33	snake_220403	mixing_Pellet	sd	0.00141660497976747
L33	snake_220403	mixing_Pellet	x2.5	0.2123400463683083
L33	snake_220403	mixing_Pellet	x25	0.2140374951491804
L33	snake_220403	mixing_Pellet	x50	0.21502946464283723
L33	snake_220403	mixing_Pellet	x75	0.2159962227280514
L33	snake_220403	mixing_Pellet	x97.5	0.217698119669742
L33	snake_220403	mixing_Pellet	n_eff	1115.4928349090042
L33	snake_220403	mixing_Pellet	Rhat	1.0000723905519349
L33	snake_220403	phi	mean	743.1507574195253
L33	snake_220403	phi	se_mean	1.2244421969055832
L33	snake_220403	phi	sd	35.49276071795798
L33	snake_220403	phi	x2.5	674.7166217438564
L33	snake_220403	phi	x25	718.4736247917493
L33	snake_220403	phi	x50	743.2355065739157
L33	snake_220403	phi	x75	766.9117696991646
L33	snake_220403	phi	x97.5	815.0856143683538
L33	snake_220403	phi	n_eff	840.2392921187421
L33	snake_220403	phi	Rhat	1.0012165622053055
L33	snake_220403	lp__	mean	47087134.28110396
L33	snake_220403	lp__	se_mean	0.03910218220764223
L33	snake_220403	lp__	sd	1.1583358092184517
L33	snake_220403	lp__	x2.5	47087131.39234947
L33	snake_220403	lp__	x25	47087133.77961931
L33	snake_220403	lp__	x50	47087134.56268112
L33	snake_220403	lp__	x75	47087135.12751554
L33	snake_220403	lp__	x97.5	47087135.618138425
L33	snake_220403	lp__	n_eff	877.5401074790799
L33	snake_220403	lp__	Rhat	1.0023696563885716
L34	snake_220403	mixing_Sup	mean	2.0121156865466157
L34	snake_220403	mixing_Sup	se_mean	7.194993093934664e-4
L34	snake_220403	mixing_Sup	sd	0.02015829413476862
L34	snake_220403	mixing_Sup	x2.5	1.9717922637808496
L34	snake_220403	mixing_Sup	x25	1.999834306360121
L34	snake_220403	mixing_Sup	x50	2.0124446594977767
L34	snake_220403	mixing_Sup	x75	2.024899276136942
L34	snake_220403	mixing_Sup	x97.5	2.052553242059542
L34	snake_220403	mixing_Sup	n_eff	784.9586738182551
L34	snake_220403	mixing_Sup	Rhat	1.001717733783411
L34	snake_220403	mixing_Pellet	mean	1.1234120527601137
L34	snake_220403	mixing_Pellet	se_mean	2.215115387224029e-4
L34	snake_220403	mixing_Pellet	sd	0.0061994542697884
L34	snake_220403	mixing_Pellet	x2.5	1.1112937554612372
L34	snake_220403	mixing_Pellet	x25	1.119218864274801
L34	snake_220403	mixing_Pellet	x50	1.123328964407804
L34	snake_220403	mixing_Pellet	x75	1.127512869897304
L34	snake_220403	mixing_Pellet	x97.5	1.1358037845600817
L34	snake_220403	mixing_Pellet	n_eff	783.2749070533833
L34	snake_220403	mixing_Pellet	Rhat	1.0009990380285094
L34	snake_220403	phi	mean	65.06465048876039
L34	snake_220403	phi	se_mean	0.0531307490665374
L34	snake_220403	phi	sd	1.579124372263779
L34	snake_220403	phi	x2.5	61.97761190370509
L34	snake_220403	phi	x25	64.0507573049768
L34	snake_220403	phi	x50	65.03962192147847
L34	snake_220403	phi	x75	66.04934454351897
L34	snake_220403	phi	x97.5	68.2896121235065
L34	snake_220403	phi	n_eff	883.3662352153518
L34	snake_220403	phi	Rhat	1.0086253540893604
L34	snake_220403	lp__	mean	60600459.3495486
L34	snake_220403	lp__	se_mean	0.05371645547642808
L34	snake_220403	lp__	sd	1.27464488784147
L34	snake_220403	lp__	x2.5	60600455.92780097
L34	snake_220403	lp__	x25	60600458.82147331
L34	snake_220403	lp__	x50	60600459.71931839
L34	snake_220403	lp__	x75	60600460.243867785
L34	snake_220403	lp__	x97.5	60600460.74653638
L34	snake_220403	lp__	n_eff	563.0717277986437
L34	snake_220403	lp__	Rhat	1.0004998752808285
L35	snake_220403	mixing_Sup	mean	0.828584958375083
L35	snake_220403	mixing_Sup	se_mean	4.645222055319484e-5
L35	snake_220403	mixing_Sup	sd	0.00169394131180221
L35	snake_220403	mixing_Sup	x2.5	0.8252890170435788
L35	snake_220403	mixing_Sup	x25	0.827427240253258
L35	snake_220403	mixing_Sup	x50	0.8286314001031866
L35	snake_220403	mixing_Sup	x75	0.8297286299073383
L35	snake_220403	mixing_Sup	x97.5	0.8317500404595116
L35	snake_220403	mixing_Sup	n_eff	1329.7921369955989
L35	snake_220403	mixing_Sup	Rhat	0.9994371493044388
L35	snake_220403	mixing_Pellet	mean	0.09399880651558816
L35	snake_220403	mixing_Pellet	se_mean	2.5154709038209696e-5
L35	snake_220403	mixing_Pellet	sd	8.261073595893519e-4
L35	snake_220403	mixing_Pellet	x2.5	0.0924000221003278
L35	snake_220403	mixing_Pellet	x25	0.0934514776527124
L35	snake_220403	mixing_Pellet	x50	0.09396635300329198
L35	snake_220403	mixing_Pellet	x75	0.09455751213854204
L35	snake_220403	mixing_Pellet	x97.5	0.09561776149663258
L35	snake_220403	mixing_Pellet	n_eff	1078.5353545243347
L35	snake_220403	mixing_Pellet	Rhat	1.0005715010213132
L35	snake_220403	phi	mean	503.0431076574082
L35	snake_220403	phi	se_mean	0.8733813938415178
L35	snake_220403	phi	sd	27.044155452732472
L35	snake_220403	phi	x2.5	452.0184011715446
L35	snake_220403	phi	x25	484.84390041456
L35	snake_220403	phi	x50	502.8531092202856
L35	snake_220403	phi	x75	520.7974892756725
L35	snake_220403	phi	x97.5	558.8647824847159
L35	snake_220403	phi	n_eff	958.8241761899992
L35	snake_220403	phi	Rhat	1.000772072469155
L35	snake_220403	lp__	mean	35627304.32185339
L35	snake_220403	lp__	se_mean	0.04580356781196573
L35	snake_220403	lp__	sd	1.2957354331409865
L35	snake_220403	lp__	x2.5	35627301.08587263
L35	snake_220403	lp__	x25	35627303.734005906
L35	snake_220403	lp__	x50	35627304.62400076
L35	snake_220403	lp__	x75	35627305.26429499
L35	snake_220403	lp__	x97.5	35627305.76933277
L35	snake_220403	lp__	n_eff	800.2654251946858
L35	snake_220403	lp__	Rhat	0.9997571990796312
L36	snake_220403	mixing_Sup	mean	0.8643875520032873
L36	snake_220403	mixing_Sup	se_mean	1.580251765992402e-4
L36	snake_220403	mixing_Sup	sd	0.00482528917100764
L36	snake_220403	mixing_Sup	x2.5	0.8550752618811296
L36	snake_220403	mixing_Sup	x25	0.8610740565237418
L36	snake_220403	mixing_Sup	x50	0.8642742939737207
L36	snake_220403	mixing_Sup	x75	0.8676248558359343
L36	snake_220403	mixing_Sup	x97.5	0.8739357170398896
L36	snake_220403	mixing_Sup	n_eff	932.3825163844436
L36	snake_220403	mixing_Sup	Rhat	1.0051027432572122
L36	snake_220403	mixing_Pellet	mean	0.3379079942622808
L36	snake_220403	mixing_Pellet	se_mean	3.774680300010023e-5
L36	snake_220403	mixing_Pellet	sd	0.00120538218258225
L36	snake_220403	mixing_Pellet	x2.5	0.33553194410292414
L36	snake_220403	mixing_Pellet	x25	0.337096094361542
L36	snake_220403	mixing_Pellet	x50	0.33791567428463176
L36	snake_220403	mixing_Pellet	x75	0.3387518426781178
L36	snake_220403	mixing_Pellet	x97.5	0.3402388364297846
L36	snake_220403	mixing_Pellet	n_eff	1019.73936842555
L36	snake_220403	mixing_Pellet	Rhat	1.0026005981163642
L36	snake_220403	phi	mean	235.3739608107409
L36	snake_220403	phi	se_mean	0.36573994151108585
L36	snake_220403	phi	sd	9.329629173438304
L36	snake_220403	phi	x2.5	217.84595707513495
L36	snake_220403	phi	x25	228.8907134154576
L36	snake_220403	phi	x50	235.38766929488884
L36	snake_220403	phi	x75	241.22815899683707
L36	snake_220403	phi	x97.5	254.4746553625684
L36	snake_220403	phi	n_eff	650.7047574956099
L36	snake_220403	phi	Rhat	1.003484213247114
L36	snake_220403	lp__	mean	31527076.016349044
L36	snake_220403	lp__	se_mean	0.05103645827028774
L36	snake_220403	lp__	sd	1.2580920563890856
L36	snake_220403	lp__	x2.5	31527072.57231078
L36	snake_220403	lp__	x25	31527075.49320432
L36	snake_220403	lp__	x50	31527076.321039423
L36	snake_220403	lp__	x75	31527076.94554571
L36	snake_220403	lp__	x97.5	31527077.431936055
