ORF	FC.vs.mock	padj	Treatment	Treatment_group
YBR054W	4.972061403508535	9.177343754229558e-87	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR055C	1.077061294024707	0.5309883467192176	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR056W	1.1282573974974832	0.18654659440653681	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR057C	1.8188630219861457	3.4524998757726093e-6	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR058C	1.114794666756513	0.21948383127124665	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR058C-A	0.7595554888413906	0.010387677701058971	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR059C	1.0693822068330838	0.3511764391443855	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR060C	1.311455723587507	0.00929070938593419	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR061C	0.658972251530944	0.0023998740679299544	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR063C	2.659426485281024	8.163889792096675e-18	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR065C	2.499930295789467	3.22182539604126e-16	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR066C	0.8748377493785792	0.16601935385366914	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR067C	2.085385430676913	2.6103450463654827e-15	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR068C	0.9338532500442283	0.3774645855888344	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR069C	0.48278956355605174	9.388057448655308e-17	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR070C	0.8389796745639485	0.49120097566993454	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR071W	0.8122446830496399	0.053615113579234666	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR072W	4.38258745071797	1.6637027041447303e-11	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR073W	0.9506534480835506	0.5995589802571787	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR074W	0.9509614655058436	0.5771791147619189	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR076W	1.193298891781203	0.9104253599180631	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR077C	1.1686763967685232	0.3915560580755516	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR078W	0.2650750603566265	4.718052100770346e-120	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR079C	0.678242779332605	3.7830769412961343e-11	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR080C	0.8043599996793124	0.0033843883426041233	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR081C	0.9757742423762314	0.7970125963345333	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR082C	1.1325965404341978	0.05177549950004055	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR083W	1.166889696294355	0.1496297715826597	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR084W	0.7231534925920382	1.7875771797492724e-6	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR084C-A	0.7713811687936901	8.208139207622934e-7	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR085W	2.210331411754779	3.967858270019241e-5	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR085C-A	1.7570418716032539	4.312883769033437e-12	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR086C	0.9849409847533188	0.8495864477709815	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR087W	1.8033021229133326	3.9603433228466953e-7	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR088C	0.43169089111836717	7.071844801027736e-15	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
