# Run started 2024-04-14 12:58:33 
# Command: sedsim-driver.py --experiment-file ./sed-control-nuc.txt --summary-only --summary-out ./results/summary-nuc-full.txt
# Parameters:
#	experiment_file: ./sed-control-nuc.txt
#	rcf_g: 20000
#	rotor_radius_cm: 10
#	sample_height_mm: 10
#	spin_time_sec: 900
#	viscosity: 1.002
#	number_of_molecules: 1000
#	replicates: 1
#	random_seed: 111
#	out_fname: None
#	summary_only: True
#	summary_out_fname: ./results/summary-nuc-full.txt
#
#	experiment.id [string] = experiment identifier
#	spin.rcf.g [float] = rotor centrifugal force in g
#	spin.time.sec [float] = time of centrifuge spin in seconds
#	crosslink.mol.prob [float] = probability of crosslink per molecules
#	crosslink.nt.prob [float] = probability of crosslink per nucleotide
#	translation.prob [float] = fraction of maximal translation rate
#	mol.translation.prob [float] = probability this molecule is translated at maximal translation rate
#	protection.prob [float] = probability this molecule is protected from crosslinking
#	id [string] = molecule ID
#	length [int] = length in nucleotides
#	mass [float] = mass in g/mol
#	radius [float] = radius in nanometers
#	psup [float] = average proportion in the supernatant
#	pfree [float] = average proportion free (not in any cluster)
#	psupclust [float] = average proportion in the supernatant and in a cluster
#	count [float] = average number of molecules
#	reps [int] = number of replicates
#	avg.cluster.count [float] = average number of clusters this molecule is in
#	avg.cluster.size [float] = average number of molecules in average cluster
#	avg.cluster.length [float] = average cluster length in nucleotides
#	avg.cluster.mass [float] = average cluster mass in g/mol
#	avg.cluster.radius [float] = average cluster radius in nanometers
experiment.id	spin.rcf.g	spin.time.sec	crosslink.mol.prob	crosslink.nt.prob	translation.prob	mol.translation.prob	protection.prob	id	length	mass	radius	psup	pfree	psupclust	count	reps	avg.cluster.count	avg.cluster.size	avg.cluster.length	avg.cluster.mass	avg.cluster.radius
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YAR007C	2002	660660.000000	12.668843	0.950000	1.000000	0.000000	1.000000	100	1.000000	1.000000	2002.000000	6.606600e+05	12.668843
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YAR014C	2453	809490.000000	13.574891	0.900000	1.000000	0.000000	1.000000	100	1.000000	1.000000	2453.000000	8.094890e+05	13.574891
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YAR015W	1130	372900.000000	10.430037	0.933333	1.000000	0.000000	3.000000	100	1.000000	1.000000	1130.000000	3.728990e+05	10.430037
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YAR027W	887	292710.000000	9.605793	0.960000	1.000000	0.000000	1.000000	100	1.000000	1.000000	887.000000	2.927100e+05	9.605793
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YAR042W	3767	1243110.000000	15.706438	0.890000	1.000000	0.000000	1.000000	100	1.000000	1.000000	3767.000000	1.243109e+06	15.706438
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL001C	456	150480.000000	7.661031	0.964000	1.000000	0.000000	5.000000	100	1.000000	1.000000	456.000000	1.504800e+05	7.661031
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL002W	661	218130.000000	8.691759	0.958889	1.000000	0.000000	27.000000	100	1.000000	1.000000	661.000000	2.181300e+05	8.691759
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL003C	629	207570.000000	8.546345	0.956667	1.000000	0.000000	15.000000	100	1.000000	1.000000	629.000000	2.075700e+05	8.546345
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL004W	7653	2525490.000000	19.986740	0.833333	1.000000	0.000000	3.000000	100	1.000000	1.000000	7653.000000	2.525490e+06	19.986740
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL006C	746	246180.000000	9.056708	0.950000	1.000000	0.000000	1.000000	100	1.000000	1.000000	746.000000	2.461800e+05	9.056708
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL007C	3871	1277430.000000	15.852547	0.906667	1.000000	0.000000	3.000000	100	1.000000	1.000000	3871.000000	1.277430e+06	15.852547
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL011W	2554	842820.000000	13.762403	0.935000	1.000000	0.000000	2.000000	100	1.000000	1.000000	2554.000000	8.428200e+05	13.762403
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL016W	1233	406890.000000	10.744016	0.920000	1.000000	0.000000	1.000000	100	1.000000	1.000000	1233.000000	4.068890e+05	10.744016
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL017C	4911	1620630.000000	17.188460	0.830000	1.000000	0.000000	2.000000	100	1.000000	1.000000	4911.000000	1.620629e+06	17.188460
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL018C	508	167640.000000	7.947542	0.960000	1.000000	0.000000	1.000000	100	1.000000	1.000000	508.000000	1.676400e+05	7.947542
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL020W	1860	613800.000000	12.355877	0.890000	1.000000	0.000000	1.000000	100	1.000000	1.000000	1860.000000	6.138000e+05	12.355877
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL022C	3597	1187010.000000	15.461760	0.896667	1.000000	0.000000	3.000000	100	1.000000	1.000000	3597.000000	1.187010e+06	15.461760
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL024W	2203	726990.000000	13.087723	0.910000	1.000000	0.000000	3.000000	100	1.000000	1.000000	2203.000000	7.269900e+05	13.087723
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL026W	487	160710.000000	7.834279	0.973333	1.000000	0.000000	6.000000	100	1.000000	1.000000	487.000000	1.607100e+05	7.834279
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL027W	697	230010.000000	8.849899	0.958661	1.000000	0.000000	127.000000	100	1.000000	1.000000	697.000000	2.300100e+05	8.849899
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL028C	577	190410.000000	8.299252	0.966667	1.000000	0.000000	6.000000	100	1.000000	1.000000	577.000000	1.904090e+05	8.299252
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL029C-A	503	165990.000000	7.920859	0.990000	1.000000	0.000000	1.000000	100	1.000000	1.000000	503.000000	1.659900e+05	7.920859
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL030C	1345	443850.000000	11.066359	0.946667	1.000000	0.000000	6.000000	100	1.000000	1.000000	1345.000000	4.438490e+05	11.066359
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL032W	1425	470250.000000	11.285901	0.920000	1.000000	0.000000	3.000000	100	1.000000	1.000000	1425.000000	4.702500e+05	11.285901
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL033C	1136	374880.000000	10.448834	0.960000	1.000000	0.000000	1.000000	100	1.000000	1.000000	1136.000000	3.748800e+05	10.448834
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL036C	933	307890.000000	9.772348	0.945000	1.000000	0.000000	2.000000	100	1.000000	1.000000	933.000000	3.078900e+05	9.772348
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL038W	854	281820.000000	9.482762	0.970000	1.000000	0.000000	1.000000	100	1.000000	1.000000	854.000000	2.818200e+05	9.482762
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL039C	1989	656370.000000	12.640813	0.902857	1.000000	0.000000	7.000000	100	1.000000	1.000000	1989.000000	6.563700e+05	12.640813
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL040C	797	263010.000000	9.262645	0.960000	1.000000	0.000000	3.000000	100	1.000000	1.000000	797.000000	2.630100e+05	9.262645
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL041W	836	275880.000000	9.414328	0.952500	1.000000	0.000000	4.000000	100	1.000000	1.000000	836.000000	2.758790e+05	9.414328
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL042C	2121	699930.000000	12.920015	0.950000	1.000000	0.000000	1.000000	100	1.000000	1.000000	2121.000000	6.999290e+05	12.920015
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL045C	1731	571230.000000	12.057581	0.940000	1.000000	0.000000	3.000000	100	1.000000	1.000000	1731.000000	5.712300e+05	12.057581
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL047C	4448	1467840.000000	16.619395	0.860000	1.000000	0.000000	3.000000	100	1.000000	1.000000	4448.000000	1.467840e+06	16.619395
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL050W	1013	334290.000000	10.049545	0.980000	1.000000	0.000000	1.000000	100	1.000000	1.000000	1013.000000	3.342900e+05	10.049545
