# Run started 2024-04-14 15:46:55 
# Command: sedsim-driver.py --experiment-file ./sed-control-mol.txt --summary-only --summary-out ./results/summary-mol-full.txt
# Parameters:
#	experiment_file: ./sed-control-mol.txt
#	rcf_g: 20000
#	rotor_radius_cm: 10
#	sample_height_mm: 10
#	spin_time_sec: 900
#	viscosity: 1.002
#	number_of_molecules: 1000
#	replicates: 1
#	random_seed: 111
#	out_fname: None
#	summary_only: True
#	summary_out_fname: ./results/summary-mol-full.txt
#
#	experiment.id [string] = experiment identifier
#	spin.rcf.g [float] = rotor centrifugal force in g
#	spin.time.sec [float] = time of centrifuge spin in seconds
#	crosslink.mol.prob [float] = probability of crosslink per molecules
#	crosslink.nt.prob [float] = probability of crosslink per nucleotide
#	translation.prob [float] = fraction of maximal translation rate
#	mol.translation.prob [float] = probability this molecule is translated at maximal translation rate
#	protection.prob [float] = probability this molecule is protected from crosslinking
#	id [string] = molecule ID
#	length [int] = length in nucleotides
#	mass [float] = mass in g/mol
#	radius [float] = radius in nanometers
#	psup [float] = average proportion in the supernatant
#	pfree [float] = average proportion free (not in any cluster)
#	psupclust [float] = average proportion in the supernatant and in a cluster
#	count [float] = average number of molecules
#	reps [int] = number of replicates
#	avg.cluster.count [float] = average number of clusters this molecule is in
#	avg.cluster.size [float] = average number of molecules in average cluster
#	avg.cluster.length [float] = average cluster length in nucleotides
#	avg.cluster.mass [float] = average cluster mass in g/mol
#	avg.cluster.radius [float] = average cluster radius in nanometers
experiment.id	spin.rcf.g	spin.time.sec	crosslink.mol.prob	crosslink.nt.prob	translation.prob	mol.translation.prob	protection.prob	id	length	mass	radius	psup	pfree	psupclust	count	reps	avg.cluster.count	avg.cluster.size	avg.cluster.length	avg.cluster.mass	avg.cluster.radius
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL004W	7653	2525490.000000	19.986740	0.520000	0.026667	0.000000	3.000000	100	20.306667	19.610000	37810.256667	1.247738e+07	31.221558
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL006C	746	246180.000000	9.056708	0.930000	0.710000	0.000000	1.000000	100	2.620000	2.620000	3274.290000	1.080515e+06	11.437288
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL007C	3871	1277430.000000	15.852547	0.680000	0.103333	0.000000	3.000000	100	9.750000	8.930000	16194.220000	5.344092e+06	23.392497
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL011W	2554	842820.000000	13.762403	0.805000	0.310000	0.000000	2.000000	100	7.655000	5.785000	9993.800000	3.297953e+06	19.135010
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL016W	1233	406890.000000	10.744016	0.840000	0.520000	0.000000	1.000000	100	3.580000	3.580000	5251.420000	1.732968e+06	14.285804
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL017C	4911	1620630.000000	17.188460	0.635000	0.090000	0.000000	2.000000	100	12.710000	12.290000	22668.260000	7.480525e+06	26.037976
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL018C	508	167640.000000	7.947542	0.950000	0.790000	0.000000	1.000000	100	1.810000	1.810000	1594.450000	5.261680e+05	9.412687
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL020W	1860	613800.000000	12.355877	0.890000	0.410000	0.000000	1.000000	100	6.190000	6.190000	10324.890000	3.407213e+06	17.685631
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL022C	3597	1187010.000000	15.461760	0.720000	0.136667	0.000000	3.000000	100	10.355000	8.953333	15954.700000	5.265051e+06	22.707369
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL024W	2203	726990.000000	13.087723	0.833333	0.293333	0.000000	3.000000	100	6.755000	5.413333	9222.450000	3.043408e+06	18.478958
