"Distance","Absorbance","Fraction.Number","Fraction.Volume.ml.","Strain","Treatment","Rep","Sample.index","Protein","Offset","Distance.adj","Absorbance.adj","Absorbance.norm"
15,0.078204,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15,0.075204,0.000154067623099558
15.03,0.077865,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.03,0.074865,0.000153373126473969
15.06,0.077532,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.06,0.074532,0.000152690921824055
15.09,0.077065,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.09,0.074065,0.000151734196384085
15.12,0.076682,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.12,0.073682,0.000150949558603553
15.15,0.076295,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.15,0.073295,0.000150156726172572
15.18,0.075974,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.18,0.072974,0.000149499105474006
15.21,0.075635,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.21,0.072635,0.000148804608848417
15.24,0.075251,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.24,0.072251,0.000148017922405273
15.27,0.074785,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.27,0.071785,0.000147063245627915
15.3,0.074436,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.3,0.071436,0.000146348262376203
15.33,0.074093,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.33,0.071093,0.000145645571100166
15.36,0.073827,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.36,0.070827,0.000145100626845279
15.39,0.073459,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.39,0.070459,0.000144346719003932
15.42,0.073024,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.42,0.070024,0.000143455550767558
15.45,0.072726,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.45,0.069726,0.000142845049309076
15.48,0.072457,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.48,0.069457,0.000142293959066352
15.51,0.072035,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.51,0.069035,0.000141429423443939
15.54,0.071651,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.54,0.068651,0.000140642737000794
15.57,0.071321,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.57,0.068321,0.000139966678338717
15.6,0.071086,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.6,0.068086,0.000139485242624814
15.63,0.070709,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.63,0.067709,0.000138712896819956
15.66,0.070252,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.66,0.067252,0.000137776658006109
15.69,0.069878,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.69,0.066878,0.000137010458189089
15.72,0.0695,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.72,0.0665,0.000136236063721618
15.75,0.069183,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.75,0.066183,0.000135586637673502
15.78,0.068891,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.78,0.065891,0.000134988428190694
15.81,0.068695,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.81,0.065695,0.000134586890318672
15.84,0.068444,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.84,0.065444,0.000134072676002971
15.87,0.068124,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.87,0.065124,0.000133417103967018
15.9,0.067813,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.9,0.064813,0.000132779969894575
15.93,0.067581,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.93,0.064581,0.000132304680168509
15.96,0.067264,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.96,0.064264,0.000131655254120392
15.99,0.067071,5,0.585,"yHG55","mock","rep1",1,"eIF4B",0,15.99,0.064071,0.000131259862236208
15.99,0.067032,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,15.99,0.064032,0.000131179964394326
16.02,0.066798,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,16.02,0.063798,0.000130700577343035
16.05,0.066595,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,16.05,0.063595,0.000130284698832727
