# scer_aggregation_psup.txt 
# Generated:  Thu Sep 10 11:17:15 2015 
#
# Citation: 
#    Reversible, specific, active aggregates of endogenous proteins assemble upon heat stress. Edward W.J. Wallace, Jamie L. Kear-Scott, Evgeny V. Pilipenko, Michael H. Schwartz, Pawel R. Laskowski, Alexandra E. Rojek, Christopher D. Katanski, Joshua A. Riback, Michael F. Dion, Alexander M. Franks, Edoardo M. Airoldi, Tao Pan, Bogdan A. Budnik, D. Allan Drummond. Cell 162(6), 2015. http://drummondlab.org/endogenous-aggregates 
# 
# Columns:
#   orf: systematic orf name
#   gene: gene name from SGD
#   experiment: experiment id; temperature, time, and replicate
#   n.detections: number of peptide detection events
#   n.peptides: number of unique peptides detected
#   intensity.t: summed intensity for total (light) channel
#   intensity.s: summed intensity for supernatant (medium) channel
#   intensity.p: summed intensity for pellet (heavy) channel
#   psup: normalized proportion in supernatant
#   psup.lo: normalized 2.5% percentile of psup
#   psup.hi: normalized 97.5% percentile of psup
#   30C.repi:  sample grown at 30C, biological replicate i
#   xC.ymin: sample shocked for x min at y C
# 
orf	gene	n.detections_30C.rep1	n.peptides_30C.rep1	intensity.t_30C.rep1	intensity.s_30C.rep1	intensity.p_30C.rep1	psup_30C.rep1	psup.lo_30C.rep1	psup.hi_30C.rep1	n.detections_30C.rep2	n.peptides_30C.rep2	intensity.t_30C.rep2	intensity.s_30C.rep2	intensity.p_30C.rep2	psup_30C.rep2	psup.lo_30C.rep2	psup.hi_30C.rep2	n.detections_30C.rep3	n.peptides_30C.rep3	intensity.t_30C.rep3	intensity.s_30C.rep3	intensity.p_30C.rep3	psup_30C.rep3	psup.lo_30C.rep3	psup.hi_30C.rep3	n.detections_37C.8min	n.peptides_37C.8min	intensity.t_37C.8min	intensity.s_37C.8min	intensity.p_37C.8min	psup_37C.8min	psup.lo_37C.8min	psup.hi_37C.8min	n.detections_42C.8min	n.peptides_42C.8min	intensity.t_42C.8min	intensity.s_42C.8min	intensity.p_42C.8min	psup_42C.8min	psup.lo_42C.8min	psup.hi_42C.8min	n.detections_46C.2min	n.peptides_46C.2min	intensity.t_46C.2min	intensity.s_46C.2min	intensity.p_46C.2min	psup_46C.2min	psup.lo_46C.2min	psup.hi_46C.2min	n.detections_46C.4min	n.peptides_46C.4min	intensity.t_46C.4min	intensity.s_46C.4min	intensity.p_46C.4min	psup_46C.4min	psup.lo_46C.4min	psup.hi_46C.4min	n.detections_46C.8min	n.peptides_46C.8min	intensity.t_46C.8min	intensity.s_46C.8min	intensity.p_46C.8min	psup_46C.8min	psup.lo_46C.8min	psup.hi_46C.8min
YLR095C	IOC2	6	4	27653880	25851800	2319412	0.9131	0.8347	0.9556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	108990000	189000000	11859000.0	0.9108	0.4545	0.9927	NA	NA	NA	NA	NA	NA	NA	NA	6	3	29448100	16848260	13566760.0	0.5963	0.4232	0.7444	1	1	1349700	2157600.0	2305200	0.4668	0.1894	0.7748
YLR098C	CHA4	1	1	1291700	135060	213390	0.1953	0.0462	0.5996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR100W	ERG27	10	6	100247000	26865430	100812200	0.1243	0.0803	0.1881	1	1	17085000	166310	118820000	0.0011	0.0002	0.0050	5	3	6514610.0	893940.0	723432.0	0.2069	0.0789	0.4885	6	5	47785600	22938690	14361000	0.3314	0.1518	0.6016	2	1	45716100	4935360	5943340.0	0.1994	0.0436	0.6540	1	1	852840	1475000	16166000	0.2364	0.0533	0.6214	10	5	85720080	20969700	83214900.0	0.1641	0.1100	0.2414	4	4	8883920	3896700.0	13121600	0.1703	0.0949	0.3067
YLR103C	CDC45	1	1	1993700	3523600	202780	0.8865	0.5823	0.9766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	23494000	18503000	31856000.0	0.3578	0.1148	0.7070	1	1	125060	143420.0	3283200	0.1021	0.0318	0.2774
YLR106C	MDN1	56	48	277684413	436449590	84726814	0.7809	0.7349	0.8196	6	6	40049320	53198450	19962470	0.7494	0.5953	0.8585	7	7	5887734.0	11069940.0	2234433.0	0.9053	0.7503	0.9680	3	3	11699900	12786900	20140330	0.7049	0.3896	0.9216	4	4	13737790	10890200	6385970.0	0.6168	0.3286	0.8480	11	9	53810270	35117914	12209082	0.5686	0.3932	0.7347	46	37	453017600	243358890	351179660.0	0.4014	0.3431	0.4641	14	12	17990518	17671885.0	22989508	0.3474	0.2623	0.4512
YLR108C	YLR108C	2	2	4143100	6170900	962001	0.8470	0.6264	0.9504	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	2083500	13249000	6681000	0.8698	0.4289	0.9874	2	2	1162866	335559	267981.1	0.6838	0.2636	0.9366	NA	NA	NA	NA	NA	NA	NA	NA	1	1	4593400	2328300	1827500.0	0.5044	0.1717	0.8352	1	1	491400	599720.0	498430	0.5204	0.2046	0.8201
YLR109W	AHP1	63	11	2016625409	6094119510	198777271	0.9294	0.9137	0.9430	50	10	10584521051	6466268504	1397412140	0.8952	0.8682	0.9189	63	10	1139777916.0	686156033.0	68037788.2	0.8108	0.7315	0.8717	75	9	6658576850	2451326186	350606685	0.8236	0.7544	0.8775	74	7	770764344	579574847	85855491.5	0.8614	0.8169	0.8969	43	11	8795001093	7151278370	991092935	0.7810	0.7080	0.8412	87	10	8367554770	7506106330	413157670.0	0.9457	0.9356	0.9541	19	7	302835204	1477289460.0	82277531	0.9471	0.9284	0.9607
YLR110C	CCW12	1	1	5466800	15139000	542600	0.9170	0.6873	0.9845	2	2	46772000	52419000	2134200	0.9727	0.9108	0.9923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	8588700	3209500	1170300.0	0.6904	0.2847	0.9309	1	1	737620	3049900.0	393810	0.8369	0.5634	0.9552
YLR113W	HOG1	2	3	2265600	7214100	453940	0.8795	0.6980	0.9619	1	1	496650	1565000	188060	0.8859	0.6167	0.9763	2	2	567980.0	239440.0	43887.5	0.9512	0.6128	0.9966	2	2	12229560	3017440	2042780	0.7320	0.2811	0.9628	3	2	12780900	8681800	1234400.0	0.8512	0.5267	0.9672	3	3	95091000	110671000	134597200	0.6977	0.4068	0.8967	5	5	59818400	37025700	11270090.0	0.7750	0.6067	0.8850	1	1	1041100	1606900.0	1158000	0.5527	0.2291	0.8351
YLR114C	AVL9	2	4	16662850	4094440	466625	0.8960	0.7177	0.9663	NA	NA	NA	NA	NA	NA	NA	NA	2	1	2583590.0	993670.0	222866.0	0.7311	0.2448	0.9706	1	1	2937800	1295000	249670	0.8389	0.2651	0.9918	2	4	9468200	4298530	1357780.0	0.5140	0.2163	0.8606	3	2	59745100	43372800	4850720	0.8232	0.5220	0.9507	4	4	20894600	15011860	2614060.0	0.8080	0.6396	0.9071	1	1	43041	156080.0	32513	0.7741	0.4669	0.9340
YLR116W	MSL5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	12632000	12007000	2968700	0.8585	0.3492	0.9897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR117C	CLF1	1	3	991120	1594700	636800	0.3755	0.1423	0.7588	NA	NA	NA	NA	NA	NA	NA	NA	1	1	925230.0	260550.0	20231.0	0.8481	0.1839	0.9961	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1948300	316190	1421700.0	0.1343	0.0322	0.4343	NA	NA	NA	NA	NA	NA	NA	NA
YLR118C	YLR118C	1	1	1276500	4675100	171400	0.9165	0.6776	0.9837	0	1	NA	NA	NA	0.6211	0.0782	0.9993	3	1	2339800.0	2456130.0	577650.0	0.8091	0.4390	0.9641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	9509800	12379000	2637900.0	0.8002	0.4298	0.9521	1	1	319910	1191600.0	200550	0.8072	0.5192	0.9411
YLR119W	SRN2	1	1	2076100	5577100	815080	0.7751	0.4201	0.9458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	2659500	1325600	303600.0	0.7331	0.2335	0.9750	2	1	6756100	6549000	985500	0.7657	0.3939	0.9494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR120C	YPS1	1	1	12035000	2963000	15278000	0.1400	0.0347	0.4285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	0.4391	0.0774	0.8897	1	1	15274000	3328700	12304000.0	0.1672	0.0433	0.4964	NA	NA	NA	NA	NA	NA	NA	NA
YLR126C	YLR126C	1	1	3058600	3379900	1949200	0.5174	0.1969	0.8465	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	0.9670	0.3630	1.0000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	2889800	3174800	359560	0.8022	0.3009	0.9758	3	3	14301400	8023100	5790450.0	0.6486	0.3941	0.8336	NA	NA	NA	NA	NA	NA	NA	NA
YLR129W	DIP2	5	5	22632060	14933820	13749300	0.3990	0.2394	0.5975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	3961100	3892140	4489220.0	0.5749	0.2342	0.8771	7	5	59173400	37514300	21595800	0.3215	0.1778	0.5275	6	5	45211600	24367800	35422500.0	0.2972	0.1802	0.4556	4	3	311554	309697.0	1138060	0.2293	0.1374	0.3695
YLR130C	ZRT2	2	1	15105000	782070	2080890	0.0912	0.0325	0.2476	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR133W	CKI1	2	3	3825690	5578900	174324	0.9474	0.8422	0.9837	NA	NA	NA	NA	NA	NA	NA	NA	1	2	275700.0	1295100.0	85596.0	0.9457	0.6459	0.9967	1	1	8261900	10086000	1496700	0.9114	0.4451	0.9949	NA	NA	NA	NA	NA	NA	NA	NA	1	1	4028300	1589600	1433800	0.3638	0.0700	0.8560	3	3	10915400	20448230	17083000.0	0.3264	0.1769	0.5422	3	2	2031840	413300.0	3419410	0.0964	0.0470	0.1900
YLR134W	PDC5	2	1	150812000	164768000	10257800	0.8993	0.7187	0.9688	1	1	51159000	44699000	7865900	0.8582	0.5373	0.9690	10	3	45997300.0	27158050.0	10166714.0	0.6784	0.4466	0.8631	4	3	214486600	118019300	11360280	0.8562	0.5701	0.9691	4	1	72286000	89249000	5198080.0	0.9405	0.7963	0.9861	2	1	5045900	3626350	424670	0.8060	0.4343	0.9630	3	2	185480600	114616700	10149100.0	0.9129	0.7923	0.9651	2	1	16050900	39176000.0	2552900	0.9257	0.8184	0.9712
YLR139C	SLS1	2	2	15776100	23494600	5115870	0.6968	0.4070	0.8909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	5227500	2920170	4146800.0	0.3502	0.1549	0.6228	NA	NA	NA	NA	NA	NA	NA	NA
YLR143W	DPH6	1	2	121620	372530	46816	0.8098	0.4982	0.9515	2	1	563760	494670	96006	0.8538	0.6100	0.9554	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	12955800	9333910	1645220	0.7287	0.4197	0.9089	2	2	9794230	1826360	1073660.0	0.3344	0.1564	0.5834	NA	NA	NA	NA	NA	NA	NA	NA
YLR144C	ACF2	1	1	806730	837270	503330	0.5052	0.1933	0.8310	NA	NA	NA	NA	NA	NA	NA	NA	1	1	142720.0	88079.0	11574.0	0.8245	0.2114	0.9922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	4424400	2799900	757430	0.6216	0.1682	0.9422	1	1	7969600	4328500	3276000.0	0.5142	0.1908	0.8449	NA	NA	NA	NA	NA	NA	NA	NA
YLR146C	SPE4	1	1	3142500	4265100	261670	0.8834	0.5678	0.9759	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	3490500	1506600	127460.0	0.8007	0.2609	0.9789	2	1	12575300	15256500	1497390	0.8422	0.5116	0.9673	2	2	22625900	5145000	368970.0	0.9473	0.8358	0.9834	NA	NA	NA	NA	NA	NA	NA	NA
YLR147C	SMD3	2	2	17500440	26719600	2385800	0.8204	0.6337	0.9228	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1078160.0	713090.0	93694.0	0.8176	0.4143	0.9784	1	1	19532000	6651800	1107900	0.8535	0.2499	0.9938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	19878800	13471900	5597380.0	0.6539	0.3682	0.8713	2	2	3597880	9032300.0	5133910	0.6545	0.4625	0.8155
YLR148W	PEP3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	422720.0	142790.0	5540.3	0.9365	0.3445	0.9984	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1043400	1281800	1598600.0	0.4887	0.0992	0.9018	NA	NA	NA	NA	NA	NA	NA	NA	1	1	29980000	3023900	5281200.0	0.2306	0.0572	0.6374	NA	NA	NA	NA	NA	NA	NA	NA
YLR150W	STM1	75	16	790980860	1519054390	192587745	0.8224	0.7902	0.8509	53	14	5377594932	4280925181	401627950	0.9514	0.9386	0.9621	11	7	20205819.0	16283170.0	1402099.6	0.8259	0.6203	0.9391	40	12	437432878	228990097	36719915	0.8985	0.8410	0.9370	59	14	629577870	544094840	74283137.3	0.8406	0.7844	0.8853	58	15	3153307093	2899000330	463923229	0.8445	0.7940	0.8822	74	16	1228317857	1545028911	195875749.8	0.8843	0.8622	0.9031	43	15	122996855	288760121.0	55577472	0.8220	0.7887	0.8526
YLR153C	ACS2	50	24	1343803190	2411320140	245544674	0.8882	0.8620	0.9101	21	12	563916200	803415300	132349490	0.8927	0.8481	0.9253	14	8	75975850.0	83653960.0	5900427.0	0.9368	0.8641	0.9735	17	11	232417900	159921060	30435435	0.9201	0.8395	0.9632	24	12	314994870	337088990	35668178.0	0.8885	0.8174	0.9345	37	16	1847740460	1592968900	288157229	0.8467	0.7797	0.8968	51	19	1602048120	1266407870	348997316.0	0.7737	0.7292	0.8126	17	12	65775340	144392890.0	75675240	0.5754	0.4907	0.6595
YLR154C	RNH203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	66567	95898	29015.0	0.7368	0.3930	0.9268	NA	NA	NA	NA	NA	NA	NA	NA
YLR160C	ASP3-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1530200.0	120410.0	613920.0	0.0619	0.0060	0.4511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR162W	YLR162W	1	1	8009400	3103800	183910	0.9001	0.5661	0.9822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR163C	MAS1	3	2	26622900	39906500	6251900	0.7617	0.5327	0.8949	2	1	15417900	9873200	3379000	0.7508	0.4668	0.9132	3	2	1681444.0	1706820.0	137638.0	0.9429	0.7100	0.9934	2	1	8986300	7205000	972740	0.9186	0.5999	0.9902	1	1	1502500	1154700	194510.0	0.7816	0.2511	0.9809	3	2	51506000	37002200	5320600	0.7547	0.4243	0.9332	3	3	78712300	40739100	21935100.0	0.6118	0.3732	0.8037	1	1	1377600	2842500.0	1736000	0.5866	0.2747	0.8329
YLR165C	PUS5	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	0.9270	0.3470	1.0000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	0.8967	0.3789	0.9924	0	1	NA	NA	NA	0.7258	0.1986	0.9707	1	1	433390	5821900	1479400.0	0.7646	0.4529	0.9343	NA	NA	NA	NA	NA	NA	NA	NA
YLR166C	SEC10	1	2	48889000	977600	5562000	0.3395	0.1282	0.6670	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	25342900	23727000	7536200.0	0.5769	0.3150	0.8194	NA	NA	NA	NA	NA	NA	NA	NA
YLR167W	RPS31	27	3	926520230	1854332430	208575500	0.8140	0.7621	0.8570	7	3	1275363030	1645613200	582544570	0.7644	0.6415	0.8597	6	2	20224380.0	20173230.0	2331473.0	0.8616	0.6229	0.9603	10	2	419581200	318674300	47527224	0.8935	0.7713	0.9592	9	2	978447930	975695350	93266850.0	0.8460	0.6836	0.9352	18	3	1552225840	1384943700	121303384	0.8832	0.8067	0.9318	33	3	1447696920	1353478540	271691150.0	0.8138	0.7639	0.8537	18	3	287817123	890181540.0	157807815	0.8193	0.7668	0.8619
YLR168C	UPS2	1	1	2898800	10339000	545440	0.8886	0.6066	0.9762	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	23112000	35346000	2541300.0	0.9268	0.6997	0.9849	NA	NA	NA	NA	NA	NA	NA	NA
YLR172C	DPH5	12	9	48596204	85775110	21903225	0.8514	0.7763	0.9044	6	2	103132800	90311000	57637400	0.7506	0.6004	0.8559	5	3	2560990.0	3734230.0	1070197.0	0.7393	0.4489	0.9197	3	3	38959600	19218090	7876300	0.6662	0.2786	0.9269	4	3	20151900	9546400	112534790.0	0.3535	0.1695	0.6113	NA	NA	NA	NA	NA	NA	NA	NA	7	6	158328700	124237000	28935810.0	0.8110	0.6865	0.8954	1	1	2091300	6960200.0	5510200	0.5321	0.2387	0.8147
YLR175W	CBF5	19	14	164636950	179308960	70128141	0.6458	0.5534	0.7317	8	6	40745386	83097900	80758260	0.6109	0.4818	0.7329	8	3	90721660.0	91754110.0	6980961.0	0.8647	0.6532	0.9592	11	7	84789548	30902930	19190133	0.6700	0.4545	0.8413	10	8	34045860	39211870	10363624.0	0.7822	0.6233	0.8929	17	10	473656530	423949200	94962420	0.6377	0.5019	0.7645	23	14	1208816670	648865160	475993500.0	0.5134	0.4258	0.5968	11	7	47533470	79670997.0	70108434	0.4952	0.3840	0.6027
YLR177W	YLR177W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	119400	5299100	694990.0	0.8700	0.5121	0.9842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR178C	TFS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	389320.0	204850.0	42701.0	0.7440	0.1570	0.9882	2	2	13158200	7862870	1486810	0.7679	0.3358	0.9659	2	1	6325600	6710200	7129200.0	0.6007	0.2331	0.8922	3	3	48562000	34164660	14900360	0.3577	0.1249	0.7349	3	1	39088100	34295000	10903500.0	0.7751	0.5722	0.8988	NA	NA	NA	NA	NA	NA	NA	NA
YLR179C	YLR179C	14	10	80724540	167420600	13790289	0.9233	0.8812	0.9507	9	7	617410400	533499800	27127710	0.9703	0.9476	0.9832	12	7	59452530.0	46667210.0	2821295.0	0.9186	0.7990	0.9720	19	9	387228400	217310700	31588360	0.8822	0.7741	0.9461	11	6	104563200	82067760	7091080.0	0.8689	0.7396	0.9396	8	5	375646270	308011100	21142610	0.8985	0.7738	0.9565	21	10	549549920	530699450	64249794.0	0.9121	0.8771	0.9379	8	5	28014430	108471960.0	18848940	0.7898	0.6928	0.8610
YLR180W	SAM1	13	8	112068250	256013800	37502529	0.8838	0.8285	0.9223	14	6	575186690	532575461	72726391	0.9048	0.8532	0.9396	3	4	2416390.0	2419140.0	160924.0	0.9477	0.7306	0.9933	11	5	105932139	30996579	8800348	0.7668	0.5809	0.8958	27	8	147628410	32519130	19555802.5	0.3302	0.2333	0.4573	18	8	847570490	610112221	162534721	0.6873	0.5477	0.7960	15	8	328830690	170928870	176563650.0	0.4326	0.3256	0.5472	16	7	15806901	17815682.0	31242819	0.3183	0.2500	0.3962
YLR181C	VTA1	5	5	3072400	5748740	401190	0.8772	0.7623	0.9414	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1746800.0	375120.0	4326.2	0.9869	0.5878	0.9998	NA	NA	NA	NA	NA	NA	NA	NA	2	3	4351400	3340100	630980.0	0.7983	0.4559	0.9632	2	2	9833600	13553200	458580	0.9522	0.7743	0.9911	3	3	7098790	4465090	674270.0	0.8392	0.6483	0.9384	2	1	468349	946770.0	263160	0.7395	0.4992	0.8804
YLR182W	SWI6	1	1	1529400	2340700	495590	0.7105	0.3321	0.9325	1	1	331870	271440	12246	0.9669	0.8402	0.9940	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	4797100	315979	2127050.0	0.0172	0.0037	0.0792	1	1	2240900	848040	898920	0.3251	0.0686	0.8023	NA	NA	NA	NA	NA	NA	NA	NA	2	3	125718	117812.9	421344	0.1084	0.0474	0.2299
YLR185W	RPL37A	14	5	204556380	318653070	43527271	0.7959	0.7041	0.8671	8	6	1306719040	1063919130	155589134	0.9183	0.8563	0.9537	7	4	50673197.0	42708373.0	2819358.7	0.8734	0.6525	0.9652	7	3	393267620	70994345	25593467	0.6134	0.3375	0.8506	11	3	279179170	89701830	20075307.3	0.8044	0.6394	0.9101	7	3	65347200	36822660	7692464	0.6635	0.4161	0.8491	17	5	199266265	210406057	40085403.6	0.8579	0.7992	0.9011	8	4	54931744	119410060.0	24681400	0.8287	0.7406	0.8877
YLR186W	EMG1	6	7	46597400	53280400	15606240	0.6653	0.4861	0.8103	6	3	37111980	31439600	10436160	0.6927	0.5232	0.8258	2	2	6849600.0	3226100.0	525030.0	0.7683	0.2895	0.9752	4	3	87532500	19073800	9433180	0.5636	0.2479	0.8706	2	3	77126300	21691100	6617700.0	0.5054	0.1573	0.8846	9	4	58509320	41661060	18682710	0.5220	0.3376	0.7128	11	8	145125030	91483320	68802745.0	0.5170	0.3857	0.6449	3	2	84831	225297.0	196329	0.5215	0.3263	0.7077
YLR187W	SKG3	1	1	246360	1229900	104980	0.8373	0.5235	0.9619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	13530000	6405700	2094700.0	0.6356	0.1457	0.9634	NA	NA	NA	NA	NA	NA	NA	NA	1	1	3859000	1246700	371200.0	0.7333	0.3355	0.9391	NA	NA	NA	NA	NA	NA	NA	NA
YLR188W	MDL1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	2843200	584100	1706700	0.1521	0.0257	0.5987	NA	NA	NA	NA	NA	NA	NA	NA	1	1	973410	184440.0	2882600	0.0692	0.0192	0.2289
YLR189C	ATG26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	83459	1029400	282240.0	0.8013	0.3691	0.9717	1	1	2088800	1336700	219720	0.7335	0.2157	0.9702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR192C	HCR1	14	6	85075705	168263530	23884341	0.8525	0.7811	0.9028	10	6	292194520	220805500	19056992	0.9706	0.9487	0.9832	9	4	16832540.0	11064650.0	1491317.0	0.8400	0.6444	0.9444	9	5	129921420	63503740	20004796	0.8098	0.6224	0.9279	13	7	58483380	51088134	7410794.7	0.8438	0.7051	0.9256	6	3	237127800	219549200	34463870	0.8420	0.6550	0.9389	15	6	231482540	231053544	45594363.0	0.8006	0.7202	0.8637	9	4	13608329	23387887.0	8268017	0.7756	0.6838	0.8462
YLR195C	NMT1	4	4	23093780	45190000	1690340	0.9423	0.8713	0.9751	2	3	4106410	4308710	457613	0.8913	0.6962	0.9638	1	2	615380.0	505430.0	4331.8	0.9902	0.7221	0.9998	3	3	8605900	4589300	1513476	0.8537	0.5218	0.9743	1	1	1769000	1142600	238440.0	0.7397	0.2172	0.9754	1	3	3807500	1739700	77426	0.9039	0.4254	0.9935	6	6	57094500	48510800	119241320.0	0.7222	0.5718	0.8365	1	2	87355	207630.0	60611	0.7498	0.4574	0.9160
YLR196W	PWP1	15	10	35026517	71011870	16486680	0.7173	0.6214	0.7974	6	3	44764450	19960920	11239937	0.7028	0.5298	0.8331	2	2	662630.0	518400.0	185217.0	0.7125	0.2748	0.9621	6	5	17890700	6157610	2589816	0.6703	0.3768	0.8882	5	6	45236880	15798250	8721520.0	0.4404	0.2168	0.7116	7	5	102771000	67966700	27000900	0.5207	0.3230	0.7341	14	10	265067900	139442400	154601180.0	0.4396	0.3252	0.5583	4	4	2982880	4076460.0	5957380	0.3976	0.2461	0.5785
