# scer_aggregation_psup.txt 
# Generated:  Thu Sep 10 11:17:15 2015 
#
# Citation: 
#    Reversible, specific, active aggregates of endogenous proteins assemble upon heat stress. Edward W.J. Wallace, Jamie L. Kear-Scott, Evgeny V. Pilipenko, Michael H. Schwartz, Pawel R. Laskowski, Alexandra E. Rojek, Christopher D. Katanski, Joshua A. Riback, Michael F. Dion, Alexander M. Franks, Edoardo M. Airoldi, Tao Pan, Bogdan A. Budnik, D. Allan Drummond. Cell 162(6), 2015. http://drummondlab.org/endogenous-aggregates 
# 
# Columns:
#   orf: systematic orf name
#   gene: gene name from SGD
#   experiment: experiment id; temperature, time, and replicate
#   n.detections: number of peptide detection events
#   n.peptides: number of unique peptides detected
#   intensity.t: summed intensity for total (light) channel
#   intensity.s: summed intensity for supernatant (medium) channel
#   intensity.p: summed intensity for pellet (heavy) channel
#   psup: normalized proportion in supernatant
#   psup.lo: normalized 2.5% percentile of psup
#   psup.hi: normalized 97.5% percentile of psup
#   30C.repi:  sample grown at 30C, biological replicate i
#   xC.ymin: sample shocked for x min at y C
# 
orf	gene	n.detections_30C.rep1	n.peptides_30C.rep1	intensity.t_30C.rep1	intensity.s_30C.rep1	intensity.p_30C.rep1	psup_30C.rep1	psup.lo_30C.rep1	psup.hi_30C.rep1	n.detections_30C.rep2	n.peptides_30C.rep2	intensity.t_30C.rep2	intensity.s_30C.rep2	intensity.p_30C.rep2	psup_30C.rep2	psup.lo_30C.rep2	psup.hi_30C.rep2	n.detections_30C.rep3	n.peptides_30C.rep3	intensity.t_30C.rep3	intensity.s_30C.rep3	intensity.p_30C.rep3	psup_30C.rep3	psup.lo_30C.rep3	psup.hi_30C.rep3	n.detections_37C.8min	n.peptides_37C.8min	intensity.t_37C.8min	intensity.s_37C.8min	intensity.p_37C.8min	psup_37C.8min	psup.lo_37C.8min	psup.hi_37C.8min	n.detections_42C.8min	n.peptides_42C.8min	intensity.t_42C.8min	intensity.s_42C.8min	intensity.p_42C.8min	psup_42C.8min	psup.lo_42C.8min	psup.hi_42C.8min	n.detections_46C.2min	n.peptides_46C.2min	intensity.t_46C.2min	intensity.s_46C.2min	intensity.p_46C.2min	psup_46C.2min	psup.lo_46C.2min	psup.hi_46C.2min	n.detections_46C.4min	n.peptides_46C.4min	intensity.t_46C.4min	intensity.s_46C.4min	intensity.p_46C.4min	psup_46C.4min	psup.lo_46C.4min	psup.hi_46C.4min	n.detections_46C.8min	n.peptides_46C.8min	intensity.t_46C.8min	intensity.s_46C.8min	intensity.p_46C.8min	psup_46C.8min	psup.lo_46C.8min	psup.hi_46C.8min
YAL029C	MYO4	3	6	8747730	5674460	20023699	0.5220	0.3291	0.7240	0	1	NA	NA	NA	0.0425	0.0075	0.1974	1	3	5543900.0	747500.0	10853.0	0.3037	0.0649	0.7834	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	3577800	1998880	455300	0.6724	0.2694	0.9245	3	4	7979200	3280140	3879800.0	0.3180	0.1608	0.5498	NA	NA	NA	NA	NA	NA	NA	NA
YAL034W-A	MTW1	0	1	NA	NA	NA	0.9242	0.4699	0.9999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	3624600	1124400	697500.0	0.4545	0.0771	0.9233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL035W	FUN12	42	24	552473630	801078730	143679656	0.7697	0.7151	0.8174	14	10	76127820	300985280	99708742	0.7537	0.6684	0.8267	9	9	8944134.0	26609100.0	2664949.0	0.8991	0.7745	0.9596	8	7	43545990	76266160	19322181	0.8988	0.7851	0.9600	9	7	6716696	22239130	3130983.0	0.8323	0.6780	0.9195	22	10	693481870	540443840	138141006	0.7435	0.6262	0.8342	46	22	1115279640	1014783874	427976467.0	0.7026	0.6483	0.7519	17	11	42989162	62616569.0	70928522	0.4325	0.3504	0.5164
YAL036C	RBG1	16	13	157401050	227877600	51108340	0.7216	0.6242	0.8014	5	4	85429600	44627700	20658880	0.6724	0.4688	0.8235	4	3	4672400.0	2992870.0	466913.9	0.9118	0.6463	0.9852	8	9	167999100	47447230	44367450	0.4925	0.2841	0.7152	7	7	237535300	133555100	16785250.0	0.5817	0.3360	0.8007	5	3	188129000	114956000	30057500	0.6383	0.3773	0.8437	16	10	188246700	115633220	89676811.0	0.6139	0.5073	0.7075	4	3	4612310	4410330.0	10988310	0.2489	0.1414	0.4088
YAL038W	CDC19	454	35	21716973567	38876552545	2655281158	0.8920	0.8827	0.9006	179	36	11205602540	45943181720	8573101752	0.8644	0.8467	0.8795	186	32	1548427286.0	2875943200.5	118013350.6	0.9492	0.9342	0.9614	252	33	15476415087	14271824726	1139578515	0.9605	0.9511	0.9684	266	35	16566590941	19012906254	1124868394.2	0.9324	0.9193	0.9431	318	34	42076720769	36854508840	2424875144	0.9200	0.9080	0.9309	414	37	42016955227	37608043853	4852833927.2	0.8942	0.8850	0.9027	244	38	4792924878	13713001195.0	1184526243	0.9072	0.8986	0.9147
YAL041W	CDC24	3	3	10574530	9738830	3989060	0.6027	0.3596	0.8053	1	1	318450	372320	136290	0.7210	0.3367	0.9364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	2585200	741530	1456270.0	0.2283	0.0548	0.6224	1	1	2782100	1020700	574420	0.4366	0.0875	0.8853	4	4	7915320	13204560	9085800.0	0.4766	0.2995	0.6634	1	1	37546	39722.0	139010	0.2602	0.0889	0.5624
YAL042W	ERV46	10	6	61060430	17882684	66488590	0.0971	0.0630	0.1478	3	3	3975770	510983	4313890	0.1152	0.0485	0.2582	1	1	409150.0	38390.0	33456.0	0.1846	0.0178	0.8284	3	2	21251950	918323	4732479	0.0473	0.0123	0.1730	1	2	10643000	513590	2883500.0	0.0427	0.0044	0.3178	4	3	42675300	5197910	37990900	0.0641	0.0261	0.1524	12	7	115178100	18223170	129760180.0	0.0871	0.0592	0.1270	7	5	4355960	1077312.0	11772660	0.0720	0.0444	0.1152
YAL043C	PTA1	4	4	13731490	14335100	2730353	0.8793	0.7376	0.9470	NA	NA	NA	NA	NA	NA	NA	NA	1	1	25282000.0	48707000.0	1126000.0	0.9742	0.6830	0.9992	NA	NA	NA	NA	NA	NA	NA	NA	1	1	10563000	3680200	312980.0	0.8692	0.2897	0.9923	0	1	NA	NA	NA	0.7108	0.0936	0.9997	1	1	2422000	1929400	880060.0	0.6424	0.2728	0.9013	0	1	NA	NA	NA	0.1724	0.0005	0.7414
YAL044C	GCV3	6	4	121515400	189568520	7703534	0.9227	0.8519	0.9599	3	1	92365000	111888000	22063000	0.8728	0.7000	0.9544	1	2	2528900.0	1525800.0	524400.0	0.7544	0.3122	0.9818	1	2	106580000	26726000	653790	0.9914	0.8539	0.9997	NA	NA	NA	NA	NA	NA	NA	NA	4	2	59811000	104866000	33160200	0.6758	0.4333	0.8633	7	3	139730660	144661230	13514570.0	0.8674	0.7701	0.9280	4	4	16306020	53705200.0	4709630	0.8665	0.7606	0.9282
YAL044W-A	YAL044W-A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	31190000	16746000	1549920	0.8537	0.4792	0.9718	1	1	654830	196190	288620.0	0.3358	0.0929	0.7202	NA	NA	NA	NA	NA	NA	NA	NA
